year,state,approved,Denied,total,denRate
2015,NV,76506,19577,96083,0.20375092368056785
2011,NJ,198028,63581,261609,0.24303827467709443
2007,WV,52200,25573,77773,0.32881591297751145
2013,AK,19411,4242,23653,0.17934300088783664
2008,AR,68258,21705,89963,0.24126585373987083
2007,CA,1248522,612318,1860840,0.32905462049397044
2017,SD,18413,2827,21240,0.13309792843691148
2007,IN,209161,99009,308170,0.32128046208261674
2015,SD,19303,3506,22809,0.15371125432943136
2017,OK,70158,19326,89484,0.21597157033659647
2013,OH,293503,94185,387688,0.24294019933554817
2012,LA,105639,33992,139631,0.2434416426151786
2013,CT,93771,22608,116379,0.19426185136493698
2013,MN,177366,31402,208768,0.15041577253218885
2010,WY,15225,4016,19241,0.20872096044904112
2012,MA,265497,46129,311626,0.14802680135803817
2017,VT,11629,2493,14122,0.1765330689704008
2007,IL,492714,197177,689891,0.2858089176406128
2007,ME,44849,18234,63083,0.2890477624716643
2011,NE,48563,9066,57629,0.15731662878064864
2009,WY,20172,5131,25303,0.2027822787811722
2010,IA,97941,18223,116164,0.1568730415619297
2009,ND,20739,3263,24002,0.13594700441629864
2010,PA,319775,91693,411468,0.2228435747129789
2015,OH,220713,68231,288944,0.2361391826789966
2016,UT,118911,21959,140870,0.15588130900830552
2009,IN,206071,56948,263019,0.21651667750238576
2013,PR,41922,18755,60677,0.3090957034790777
2017,RI,22937,4535,27472,0.16507716948165405
2016,FL,462964,174763,637727,0.27404045931879945
2013,NV,78411,17359,95770,0.18125717865719954
2010,CT,97219,25174,122393,0.20568169748269918
2013,IN,181593,51657,233250,0.2214662379421222
2010,NJ,214496,69420,283916,0.24450893926372588
2008,MT,26997,8913,35910,0.24820384294068504
2012,WY,18903,3538,22441,0.15765785838420748
2013,CO,218886,42621,261507,0.16298225286512408
2016,OK,77552,26475,104027,0.25450123525623153
2012,NY,273352,91212,364564,0.25019475318462603
2016,NM,38220,15111,53331,0.28334364628452496
2008,NY,257020,137513,394533,0.3485462559532409
2012,TX,564847,151222,716069,0.2111835591262853
2013,AZ,211017,45489,256506,0.1773408809150663
2015,NA,18531,24784,43315,0.5721805379198892
2015,MS,44660,16855,61515,0.27399821181825573
2007,NY,405577,206741,612318,0.33763665285031635
2016,HI,28807,7663,36470,0.21011790512750206
2007,FL,767451,404255,1171706,0.3450140222888677
2012,NH,45468,10906,56374,0.19345797708163337
2009,MA,240758,48896,289654,0.1688083023193189
2013,AR,73229,21291,94520,0.22525391451544646
2007,DC,21558,7376,28934,0.25492500172807075
2010,DC,15043,3638,18681,0.1947433220919651
2007,NM,70357,31001,101358,0.30585646914895714
2009,AR,75790,20526,96316,0.21311100959342166
2010,CO,196143,42112,238255,0.17675179954250697
2011,LA,90468,33971,124439,0.2729931934522135
2009,MI,226284,71806,298090,0.24088698044214835
2015,WV,28309,10733,39042,0.27490907228113315
2016,SC,121623,39762,161385,0.2463797750720327
2007,AR,82367,27495,109862,0.25026851868708017
2013,MT,30608,6523,37131,0.1756753117341305
2010,IN,177139,52596,229735,0.22894204191786188
2008,AZ,165674,85622,251296,0.3407216987138673
2016,RI,25316,6773,32089,0.21106921374925988
2009,PA,356993,106383,463376,0.22958245571630814
2010,OR,111899,29328,141227,0.2076656729945407
2008,ID,48953,23106,72059,0.3206539086026728
2017,NE,39328,6574,45902,0.1432181604287395
2013,WI,184306,37437,221743,0.16883058315256852
2015,MA,156280,31401,187681,0.1673104896073657
2012,PA,355888,96970,452858,0.21412893224807777
2015,GA,208621,68494,277115,0.2471681431896505
2011,WV,33507,12257,45764,0.2678306092124814
2013,NY,261304,82831,344135,0.24069333255844363
2012,DE,31296,8206,39502,0.2077363171484988
2013,GA,247175,74271,321446,0.23105280513678814
2008,LA,98950,48375,147325,0.3283556762260309
2011,UT,77501,17672,95173,0.18568291427190484
2017,NJ,150909,38725,189634,0.20420916080449708
2013,ND,21262,3037,24299,0.12498456726614264
2013,CA,1048508,237700,1286208,0.18480681196198437
2015,MD,136238,40791,177029,0.2304198747097933
2012,KS,80456,15404,95860,0.16069267682036303
2012,AK,23527,4244,27771,0.15282128839436823
2007,AK,21476,6691,28167,0.23754748464515213
2012,IL,410481,94819,505300,0.1876489214328122
2009,NY,271900,102032,373932,0.27286244557834044
2012,MT,31153,6116,37269,0.16410421529957875
2007,TN,220684,96978,317662,0.30528675132688204
2016,NH,34810,9846,44656,0.2204854890720172
2008,SC,115916,50580,166496,0.3037910820680377
2009,WV,39464,14943,54407,0.2746521587295752
2010,MN,171497,37222,208719,0.17833546538647654
2015,SC,107789,34885,142674,0.24450845984552197
2012,AL,124026,40107,164133,0.24435671071630932
2008,VT,16595,4951,21546,0.2297874315418175
2013,SC,124962,40663,165625,0.2455124528301887
2009,NJ,254239,80075,334314,0.2395203311856518
2011,RI,23590,6006,29596,0.20293282876064334
2011,DC,14826,4062,18888,0.2150571791613723
2016,DE,25063,8232,33295,0.24724433098062773
2010,DE,25717,7923,33640,0.2355231866825208
2016,PA,253903,79541,333444,0.23854380345725218
2012,OH,321551,103058,424609,0.242712707455565
2016,OH,246285,74180,320465,0.23147613623952693
2007,MS,76757,32237,108994,0.2957685744169404
2012,NC,282516,78124,360640,0.21662599822537712
2011,SD,22528,4247,26775,0.15861811391223157
2017,ME,28924,7419,36343,0.204138348512781
2013,UT,96914,18869,115783,0.1629686568839985
2015,DE,22204,6527,28731,0.22717622080679406
2015,UT,101532,18570,120102,0.15461857421191988
2010,ID,45070,12488,57558,0.21696375829597972
2011,VA,218087,51400,269487,0.19073276261934713
2009,PR,49997,26517,76514,0.3465640274982356
2012,TN,178722,50457,229179,0.22016415116568272
2007,AZ,298746,135938,434684,0.31272832678451473
2016,IL,298109,76748,374857,0.20473940729398143
2007,MT,32591,13241,45832,0.28890294990399723
2007,PA,423476,201389,624865,0.32229201507525623
2015,RI,22737,5610,28347,0.1979045401629802
2008,NH,32923,15062,47985,0.3138897572157966
2012,KY,121969,37862,159831,0.23688771264648284
2011,PA,288461,87905,376366,0.23356254284393382
2008,WY,16918,6383,23301,0.2739367409124072
2008,IL,347478,141102,488580,0.28880019648778094
2009,IA,112473,22490,134963,0.1666382638204545
2008,DC,13250,4502,17752,0.253605227579991
2015,OR,106347,22449,128796,0.1742988912699152
2010,NV,55238,15547,70785,0.21963692872783783
2016,CO,238056,50030,288086,0.17366341995098686
2010,NC,237249,69040,306289,0.22540802967132348
2015,PA,238202,72026,310228,0.2321711773276429
2007,MN,176494,65042,241536,0.2692849099099099
2013,OR,121479,26948,148427,0.1815572638401369
2016,DC,14815,4640,19455,0.23849910048830636
2010,FL,283420,115047,398467,0.2887240348636148
2015,CA,885025,214892,1099917,0.19537110527430707
2017,WI,137053,25035,162088,0.15445313656779033
2011,TX,450353,138264,588617,0.23489637574178115
2007,CO,223550,82433,305983,0.269403855769765
2015,AK,15263,3091,18354,0.16841015582434346
2010,OK,85384,24827,110211,0.2252678952191705
2015,HI,25866,5325,31191,0.17072232374723478
2016,NA,18877,24101,42978,0.5607752803760063
2008,WA,205806,79696,285502,0.27914340354883677
2013,RI,28698,6454,35152,0.18360263996358672
2012,AZ,230593,46585,277178,0.16806889435669498
2008,MD,153275,67251,220526,0.304957238602251
2008,VA,220933,92827,313760,0.29585351861295256
2010,AR,68101,20129,88230,0.22814235520797915
2007,TX,662183,318121,980304,0.32451260017300754
2008,WV,40010,20793,60803,0.34197325789845895
2012,NJ,252556,74385,326941,0.22751811488923077
2008,MN,133510,45082,178592,0.25243012005017024
2010,WI,226817,45430,272247,0.16687052566235808
2015,MO,137668,30230,167898,0.18004979213570144
2009,NM,53320,17583,70903,0.2479866860358518
2008,TX,467918,225348,693266,0.32505272146621933
2016,NE,47855,9679,57534,0.16823095908506275
2011,AZ,138982,34708,173690,0.19982727848465656
2009,NA,130606,105918,236524,0.44781079298506704
2007,WA,305231,107210,412441,0.25994020962998343
2009,NV,68583,22751,91334,0.2490967219217378
2017,DE,22791,5884,28675,0.20519616390584133
2009,VA,273818,64645,338463,0.19099576615464614
2016,ME,31400,10486,41886,0.2503461777204794
2017,PA,230728,60888,291616,0.2087951278393504
2010,MI,199201,62628,261829,0.23919428329176676
2016,MT,25869,6181,32050,0.19285491419656786
2016,PR,26966,14354,41320,0.3473862536302033
2007,MI,318617,177745,496362,0.3580955028789472
2012,RI,32463,7154,39617,0.1805790443496479
2012,FL,444370,142998,587368,0.24345555086419418
2012,VT,20933,4443,25376,0.17508669609079444
2008,DE,26977,15137,42114,0.35942916844754713
2012,MN,211269,36385,247654,0.146918684939472
2015,NH,30665,8448,39113,0.21598956868560326
2013,DE,28846,7649,36495,0.20959035484312918
2012,IA,108841,17507,126348,0.13856175008706112
2012,MI,299938,72339,372277,0.1943149858841669
2017,NV,83162,17749,100911,0.17588766338654854
2015,DC,13791,4227,18018,0.2345987345987346
2015,NM,35324,12790,48114,0.26582699422205597
2008,ND,16862,3274,20136,0.16259435836313071
2009,NH,43549,14320,57869,0.24745545974528677
2017,VA,185138,42933,228071,0.18824401173318836
2008,FL,358072,223439,581511,0.3842386472482894
2016,IA,85006,17421,102427,0.17008210725687564
2010,WV,34028,13019,47047,0.27672327672327673
2007,WI,219962,72815,292777,0.24870464551518734
2017,OH,226227,55506,281733,0.19701632396630853
2008,SD,24115,5364,29479,0.1819600393500458
2012,ME,40891,11490,52381,0.2193543460415036
2015,TX,512009,151054,663063,0.2278124401452049
2011,PR,39862,20202,60064,0.33634123601491744
2016,MA,179460,41211,220671,0.18675313022553938
2013,MO,170612,39262,209874,0.18707414925145563
2009,SD,30888,5362,36250,0.14791724137931034
2017,NA,15797,15555,31352,0.49614059709109465
2015,WA,196892,42646,239538,0.17803438285365997
2012,NA,36319,25435,61754,0.4118761537714156
2007,KY,126339,62277,188616,0.3301787759256903
2016,AR,62237,20733,82970,0.2498855007834157
2011,MS,49997,17853,67850,0.26312453942520264
2007,KS,86878,34826,121704,0.2861532899493854
2011,OH,237011,89097,326108,0.27321316864351686
2012,UT,120919,21005,141924,0.14800174741410896
2015,MN,149283,27804,177087,0.15700757254908604
2009,OK,101950,28374,130324,0.21771891593259876
2013,DC,18122,4791,22913,0.20909527342556627
2015,IA,77869,15255,93124,0.16381383961170054
2017,VI,16,1,17,0.058823529411764705
2013,TX,582099,159911,742010,0.215510572633792
2015,NY,210899,64989,275888,0.2355629820796845
2016,WI,159767,34232,193999,0.17645451780679283
2010,MS,54975,20702,75677,0.2735573556034198
2009,CA,911487,245705,1157192,0.21232863690727208
2017,MT,23606,4553,28159,0.16168898043254376
2009,MD,190515,50599,241114,0.20985508929386099
2016,AZ,216962,56367,273329,0.20622400111221276
2009,OR,130458,36794,167252,0.21999139023748596
2007,RI,36888,16419,53307,0.3080083291124993
2010,ME,37323,11669,48992,0.23818174395819725
2007,NC,334858,132525,467383,0.2835468983681477
2017,MD,126767,32974,159741,0.2064216450379051
2013,WA,231076,50553,281629,0.17950211093317806
2008,IA,80405,27408,107813,0.25421795145297876
2015,AR,56365,18629,74994,0.24840653918980185
2011,IA,85087,16282,101369,0.16062109717961112
2010,VA,233715,51572,285287,0.1807723450420103
2017,KS,54985,10461,65446,0.15984170155548086
2011,MO,148067,35713,183780,0.1943247360975079
2017,WA,201055,35356,236411,0.14955310878089428
2008,WI,190477,55689,246166,0.22622539262123934
2016,MI,242260,62805,305065,0.20587415796633504
2015,PR,29702,14870,44572,0.33361751772413173
2008,PA,319679,155428,475107,0.3271431488064794
2017,PR,20184,11446,31630,0.3618716408472969
2017,CO,195468,36022,231490,0.15560931357726035
2011,TN,137698,42261,179959,0.23483682394323152
2016,VA,221100,60834,281934,0.21577390453084763
2011,NV,49989,12555,62544,0.20073867996930161
2009,MT,37096,8033,45129,0.17800084203062333
2015,ID,49216,11400,60616,0.18806915665830803
2010,OH,277042,91114,368156,0.24748747813426916
2013,ME,36946,10691,47637,0.22442639125049857
2010,NA,52792,41187,93979,0.438257483054725
2007,IA,97499,33615,131114,0.2563799441707217
2009,AK,23791,5461,29252,0.18668808970326814
2015,OK,74372,22568,96940,0.2328037961625748
2010,LA,94607,33478,128085,0.26137330678846077
2009,CO,224355,46960,271315,0.17308294786502773
2017,NY,214088,53131,267219,0.1988294245543917
2011,IL,311540,83630,395170,0.21163043753321356
2010,KY,106669,35158,141827,0.24789356046450958
2016,WY,14619,3809,18428,0.20669633166919904
2015,KY,83706,25188,108894,0.23130751005565045
2011,WA,192645,46094,238739,0.19307276984489338
2013,NH,39389,10398,49787,0.20884969972081066
2017,MS,49169,17365,66534,0.2609943788138395
2011,NM,40002,13326,53328,0.2498874887488749
2011,OK,80044,23577,103621,0.2275310989085224
2007,GA,349577,166427,516004,0.3225304455004225
2007,NA,86744,73723,160467,0.45942779512298476
2010,NY,241736,87110,328846,0.26489603036071596
2013,MA,206147,40426,246573,0.16395144642762996
2011,MD,144860,39610,184470,0.21472326123488913
2015,VA,202053,52579,254632,0.20649015049168998
2008,NA,117559,120872,238431,0.5069475026317887
2008,OR,101257,44456,145713,0.30509288807450263
2016,MS,49333,20946,70279,0.2980406664864326
2011,OR,93159,25024,118183,0.2117394210673278
2011,ME,32040,10328,42368,0.24376888217522658
2017,ND,14862,2087,16949,0.12313410820697386
2007,OR,159531,55455,214986,0.2579470291088722
2016,SD,20581,4185,24766,0.1689816684163773
2010,NM,45294,14660,59954,0.2445207992794476
2012,OK,96505,25746,122251,0.21059950429853336
2016,WV,29511,10851,40362,0.26884198008027355
2008,OH,235546,121765,357311,0.3407815600415324
2011,MI,191869,60160,252029,0.23870268897626862
2008,MI,200280,101301,301581,0.33589980801177793
2008,TN,160383,69614,229997,0.30267351313278
2008,CA,677933,330087,1008020,0.32746076466736773
2009,KS,86344,19207,105551,0.18196890602647062
2009,ME,44615,13184,57799,0.2281008321943286
2016,CT,69022,22023,91045,0.24189137239826458
2012,AR,78296,20457,98753,0.20715320040910148
2015,WY,14404,3101,17505,0.1771493858897458
2017,WV,27692,9712,37404,0.2596513741845792
2011,HI,25944,5461,31405,0.173889508040121
2009,SC,125984,40615,166599,0.24378897832520002
2012,DC,20183,4716,24899,0.18940519699586328
2016,TX,556993,172157,729150,0.2361064252897209
2017,AL,98801,32699,131500,0.2486615969581749
2010,UT,100631,22273,122904,0.18122274295385016
2017,TN,157340,40117,197457,0.20316828474047513
2015,VT,13040,3409,16449,0.2072466411331996
2010,IL,370110,89578,459688,0.19486695323784828
2008,NM,46447,24052,70499,0.34116795982921744
2013,NA,23719,24557,48276,0.5086792609163974
2007,LA,129834,58847,188681,0.31188619945834506
2017,ID,52125,9342,61467,0.1519839914100249
2011,AR,61877,17574,79451,0.22119293652691596
2016,CA,1025382,268525,1293907,0.20753037119360201
2011,KY,96985,33822,130807,0.2585641441207275
2008,CO,161401,55661,217062,0.2564290387078346
2012,CT,108032,24392,132424,0.18419621820817977
2015,NC,216981,63544,280525,0.2265181356385349
2009,NC,285809,75292,361101,0.20850676126623854
2009,AZ,183292,55743,239035,0.2332001589725354
2009,VT,23332,5303,28635,0.18519294569582678
2016,KY,94114,24853,118967,0.20890667159800616
2011,NC,220728,66245,286973,0.2308405320361149
2016,OR,120106,28649,148755,0.192591845652247
2015,MT,24526,5146,29672,0.173429495820976
2008,KS,70806,24582,95388,0.25770537174487357
2007,MA,212706,78708,291414,0.2700899750869896
2015,CT,64381,18586,82967,0.22401677775501103
2017,DC,11835,3293,15128,0.21767583289264938
2016,NV,89873,26335,116208,0.2266195098444169
2007,NJ,312700,129353,442053,0.29261875838417567
2015,MI,217441,56496,273937,0.20623720052420813
2012,MD,199020,46691,245711,0.19002405264721564
2015,IN,151649,41279,192928,0.21396064853209487
2012,MS,59483,18846,78329,0.2406005438598731
2009,DE,31001,9818,40819,0.24052524559641345
2012,WV,38621,13131,51752,0.25372932447055185
2011,GA,193607,62709,256316,0.24465503519093618
2012,PR,42669,18299,60968,0.30014105760398896
2013,NM,48382,16037,64419,0.24894829165308371
2009,MO,203689,48280,251969,0.19161087276609423
2013,AL,122139,42201,164340,0.2567907995618839
2015,ND,17774,2878,20652,0.13935696300600425
2008,NE,44396,15110,59506,0.2539239740530367
2011,CO,170598,38356,208954,0.1835619322913177
2017,HI,23035,4416,27451,0.16086845652253107
2013,IA,94482,16284,110766,0.1470126212014517
2016,LA,88137,33738,121875,0.2768246153846154
2017,GA,216105,61687,277792,0.22206183043428177
2012,NE,64154,10737,74891,0.1433683620194683
2016,AK,16078,3984,20062,0.19858438839597248
2013,FL,453552,150159,603711,0.24872662581930757
2010,SC,102220,35287,137507,0.2566196629989746
2009,DC,16791,4487,21278,0.21087508224457185
2017,MA,142148,25906,168054,0.15415283182786485
2009,TN,182120,49074,231194,0.2122632940301219
2017,CA,762600,173356,935956,0.18521810854356402
2012,WI,249148,43100,292248,0.14747748487585885
2016,MD,151036,48316,199352,0.24236526345358964
2010,NH,38431,11566,49997,0.23133388003280198
2015,IL,268886,65741,334627,0.1964605366572333
2013,MD,173010,44571,217581,0.20484784976629394
2009,MN,193335,41853,235188,0.17795550793407827
2009,MS,63229,20558,83787,0.2453602587513576
2008,IN,158629,72190,230819,0.31275588231471413
2010,SD,25651,5103,30754,0.16592963516940887
2007,OK,107741,46530,154271,0.301612098190846
2011,MA,190718,38517,229235,0.16802408009248151
2016,MN,163786,32001,195787,0.16344803281116724
2013,IL,332406,82885,415291,0.19958294304475657
2008,PR,55341,30219,85560,0.35319074333800843
2011,WY,14191,3345,17536,0.19075045620437955
2010,KS,74503,16511,91014,0.18141165095479816
2017,OR,103660,20126,123786,0.16258704538477695
2016,KS,64396,15132,79528,0.19027260838949803
2009,OH,307967,92791,400758,0.23153873409888262
2012,IN,206395,55417,261812,0.2116671504743862
2017,FL,447419,139512,586931,0.23769744654823138
2016,ID,57082,13570,70652,0.1920681650908679
2011,MN,147377,30747,178124,0.17261570591273495
2016,NC,245693,75130,320823,0.23417897095906465
2013,HI,34667,7178,41845,0.1715378181383678
2011,AL,98253,36525,134778,0.2710012019765837
2017,IA,72733,12168,84901,0.14331986666823712
2007,CT,126886,50205,177091,0.2834983144259166
2008,ME,35057,14441,49498,0.29174916158228614
2010,GA,194694,62852,257546,0.24404184106916824
2008,MO,164128,67433,231561,0.29121052336101505
2012,ID,55716,13751,69467,0.19795010580563432
2013,ID,52531,13405,65936,0.20330320310604222
2012,OR,134853,29625,164478,0.18011527377521613
2013,NE,52964,9904,62868,0.15753642552649996
2013,NJ,214552,63728,278280,0.22900675578553975
2017,WY,12789,2591,15380,0.16846553966189856
2017,UT,102453,16262,118715,0.1369835319883755
2009,GA,241173,77761,318934,0.24381533483416631
2016,AL,105801,40550,146351,0.2770736107030359
2015,WI,145828,31231,177059,0.17638753183966926
2010,MT,27678,6699,34377,0.1948686621869273
2007,AL,157244,66755,223999,0.29801472328001466
2011,NY,229267,84022,313289,0.2681932656429048
2015,NE,44457,8212,52669,0.15591714291139
2013,OK,90200,25272,115472,0.21885825135097686
2007,HI,40339,13877,54216,0.2559576508779696
2007,PR,61031,32061,93092,0.3444012374854982
2017,MN,142524,23465,165989,0.14136478923302145
2011,MT,23627,5478,29105,0.18821508331901735
2012,ND,23444,3164,26608,0.11891160553217077
2011,VT,16587,4177,20764,0.20116547871315738
2007,SC,161321,69577,230898,0.3013321899713293
2009,WA,268638,64646,333284,0.19396670707264674
2008,NC,253260,101931,355191,0.286975176735897
2008,OK,88926,35984,124910,0.2880794171803699
2007,MD,250730,107332,358062,0.2997581424446046
2011,IN,158761,48556,207317,0.23421137678048592
2016,ND,18103,3610,21713,0.16625984433288812
2007,ID,71539,27437,98976,0.2772086162301972
2007,ND,17879,3614,21493,0.16814776904108314
2009,WI,270537,48414,318951,0.1517913409896818
2007,NH,45890,20088,65978,0.3044651247385492
2017,LA,76636,24798,101434,0.244474239406905
2017,NH,30732,7287,38019,0.19166732423262053
2007,UT,144320,49626,193946,0.2558753467460015
2017,AK,12598,2524,15122,0.1669091390027774
2008,NJ,206944,88904,295848,0.3005056650712528
2013,MI,270353,68202,338555,0.20145028134276557
2010,MO,174165,39657,213822,0.18546735134831777
2007,DE,38961,18196,57157,0.3183512080760012
2009,AL,123118,39910,163028,0.24480457344750595
2007,MO,220031,95033,315064,0.30163077977807684
2010,CA,897585,217153,1114738,0.19480182787345546
2012,WA,267457,56536,323993,0.17449759717030924
2017,MO,133086,28585,161671,0.17680969376078579
2009,IL,431709,101352,533061,0.1901320861965141
2013,NC,275148,77834,352982,0.2205041616852984
2010,AK,19543,4188,23731,0.17647802452488306
2007,NV,119374,62096,181470,0.3421832809830826
2011,NA,33126,25697,58823,0.4368529316763851
2017,AZ,195298,38633,233931,0.16514698778699702
2007,NE,53241,18156,71397,0.2542963990083617
2016,TN,167284,51902,219186,0.2367943208051609
2010,MA,222407,44055,266462,0.16533314318739634
2013,VA,267495,60670,328165,0.1848765102920787
2012,SC,127921,41388,169309,0.24445245084431425
2008,RI,23893,9798,33691,0.29081950669318213
2010,TX,454479,142962,597441,0.23929057429938688
2011,ND,18283,2883,21166,0.13620901445714825
2010,ND,19860,3256,23116,0.14085481917286727
2010,AL,105511,39368,144879,0.2717302024447988
2016,VT,13607,3608,17215,0.2095846645367412
2008,MS,62479,26178,88657,0.2952727928984739
2013,TN,172032,52488,224520,0.23377872795296634
2017,AR,58614,17386,76000,0.22876315789473683
2015,AL,95886,35676,131562,0.27117252702148037
2015,AZ,184297,43230,227527,0.1899994286392384
2010,NE,57994,10567,68561,0.15412552325666196
2011,NH,33787,10182,43969,0.23157224408105712
2017,TX,504610,127450,632060,0.20164224915356138
2016,IN,167222,48262,215484,0.22397022516752985
2011,ID,38282,10676,48958,0.21806446341762326
2016,NJ,176951,53104,230055,0.23083175762317706
2012,SD,29207,4934,34141,0.1445183210802261
2008,AL,120616,54402,175018,0.31083659966403454
2012,GA,260810,75960,336770,0.22555453276717047
2011,CA,845599,199063,1044662,0.19055254235341193
2011,AK,18498,3071,21569,0.14238026797718947
2012,HI,37962,7253,45215,0.1604113679088798
2010,WA,220752,51632,272384,0.18955592105263158
2010,RI,27604,7584,35188,0.21552802091622145
2011,SC,94878,34316,129194,0.2656160502809728
2017,IL,246212,57232,303444,0.18860811220521745
2015,FL,402604,147773,550377,0.2684941412886076
2015,NJ,155424,47526,202950,0.23417590539541758
2009,TX,495536,159650,655186,0.24367126281697105
2012,NV,81839,19539,101378,0.19273412377438892
2010,AZ,151236,40454,191690,0.2110386561635975
2015,LA,84785,28394,113179,0.2508769294657136
2013,KS,70867,14614,85481,0.1709619681566664
2010,PR,37413,18153,55566,0.3266925817946226
2013,KY,108830,35025,143855,0.2434743317924299
2017,CT,60779,14944,75723,0.19735087093749587
2010,TN,150360,45625,195985,0.23279842845115697
2008,AK,17564,4744,22308,0.21265913573605882
2010,HI,28117,6397,34514,0.18534507735991193
2013,WV,38480,12922,51402,0.25139099645928176
2008,NV,63227,34736,97963,0.3545828527096965
2013,VT,17931,4161,22092,0.18834872351982618
2012,NM,51654,16080,67734,0.23739923819647443
2015,TN,150759,43942,194701,0.2256896472026338
2008,MA,156075,48523,204598,0.23716263111076355
2009,CT,107812,29459,137271,0.21460468707884403
2011,KS,63921,14339,78260,0.18322259136212624
2009,NE,63899,12215,76114,0.16048295977087002
2012,MO,194649,40699,235348,0.17293114876693239
2007,OH,329300,181320,510620,0.355097724335122
2010,VT,17991,4546,22537,0.2017127390513378
2016,MO,153616,35783,189399,0.18892919181199477
2007,VA,315719,125425,441144,0.28431759244147037
2017,MI,221689,51625,273314,0.18888531140007464
2013,SD,24172,4622,28794,0.16051955268458706
2012,CA,1244895,251544,1496439,0.16809505766690122
2009,UT,131567,30432,161999,0.1878530114383422
2008,GA,231001,107465,338466,0.31750604196581045
2017,KY,85972,24113,110085,0.2190398328564291
2007,WY,21347,7544,28891,0.26111937973763455
2011,CT,83143,21572,104715,0.2060067803084563
2008,KY,99061,46861,145922,0.3211373199380491
2007,SD,25304,6950,32254,0.21547715012091523
2017,NM,34216,10921,45137,0.24195227861842833
2017,SC,113712,33127,146839,0.2256008281178706
2016,NY,224865,68301,293166,0.2329772210965801
2011,FL,281339,106567,387906,0.27472377328528047
2013,WY,17405,3576,20981,0.17043992183404033
2010,MD,164717,41888,206605,0.20274436727087922
2015,CO,206517,40536,247053,0.16407815327075567
2016,GA,234381,80856,315237,0.25649273403819983
2009,RI,32678,8652,41330,0.20933946285990807
2007,VT,19838,5962,25800,0.23108527131782947
2011,DE,23221,7013,30234,0.23195739895481907
2009,LA,102799,36718,139517,0.26317939749277863
2008,UT,104197,37889,142086,0.26666244387202115
2009,HI,35552,8732,44284,0.19718182639327975
2009,KY,119650,36799,156449,0.23521403140959674
2009,ID,58827,18437,77264,0.23862342099813627
2013,PA,318053,89885,407938,0.22033985556628705
2017,NC,221572,53360,274932,0.1940843554042454
2008,CT,84807,35362,120169,0.2942689046259851
2011,WI,187228,39167,226395,0.1730029373440226
2012,VA,302263,62700,364963,0.17179823708156716
2012,CO,245015,43990,289005,0.15221189944810642
2013,MS,57363,19332,76695,0.2520633678857813
2016,WA,232320,52374,284694,0.18396594238023983
2015,ME,28073,9218,37291,0.24719101123595505
2009,FL,307922,137158,445080,0.3081648243012492
2015,KS,59310,12329,71639,0.17209899635673306
2008,HI,25671,9284,34955,0.2655986268058933
2013,LA,100789,34586,135375,0.25548291782086796
2017,IN,153871,34871,188742,0.18475485053671148
